You are now connected to database "nc_knews_dev" as user "robfairclough".
   slug   |               description               
----------+-----------------------------------------
 coding   | Code is love, code is life
 football | FOOTIE!
 cooking  | Hey good looking, what you got cooking?
(3 rows)

   username   |                                                        avatar_url                                                        |    name     
--------------+--------------------------------------------------------------------------------------------------------------------------+-------------
 tickle122    | https://www.spiritsurfers.net/monastery/wp-content/uploads/_41500270_mrtickle.jpg                                        | Tom Tickle
 grumpy19     | https://www.tumbit.com/profile-image/4/original/mr-grumpy.jpg                                                            | Paul Grump
 happyamy2016 | https://vignette1.wikia.nocookie.net/mrmen/images/7/7f/Mr_Happy.jpg/revision/latest?cb=20140102171729                    | Amy Happy
 cooljmessy   | https://i.imgur.com/WfX0Neu.jpg                                                                                          | Peter Messy
 weegembump   | https://www.upandrunning.co.uk/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/m/r/mr-bump.jpg | Gemma Bump
 jessjelly    | https://s-media-cache-ak0.pinimg.com/564x/39/62/ec/3962eca164e60cf46f979c1f57d4078b.jpg                                  | Jess Jelly
(6 rows)

 article_id | comment_id |   username   | created_at 
         34 |        174 | cooljmessy   | 2018-02-01
         12 |        175 | cooljmessy   | 2017-01-16
         23 |        176 | grumpy19     | 2017-03-13
         26 |        177 | tickle122    | 2016-10-15
         22 |        178 | weegembump   | 2017-01-27
         29 |        179 | grumpy19     | 2017-01-12
         16 |        180 | tickle122    | 2016-03-13
         16 |        181 | tickle122    | 2016-01-26
          6 |        182 | jessjelly    | 2017-12-14
         12 |        183 | cooljmessy   | 2017-06-02
         34 |        184 | jessjelly    | 2016-10-05
         18 |        185 | jessjelly    | 2016-07-15
         21 |        186 | tickle122    | 2017-06-23
          4 |        187 | grumpy19     | 2016-04-22
         28 |        188 | cooljmessy   | 2016-10-12
         16 |        189 | happyamy2016 | 2016-03-05
         20 |        190 | cooljmessy   | 2017-02-24
          2 |        191 | weegembump   | 2017-01-22
          3 |        192 | jessjelly    | 2016-04-29
         19 |        193 | jessjelly    | 2016-10-26
         15 |        194 | cooljmessy   | 2016-03-10
         20 |        195 | weegembump   | 2016-08-03
         33 |        196 | cooljmessy   | 2017-07-15
         18 |        197 | tickle122    | 2017-02-11
         30 |        198 | grumpy19     | 2017-01-06
         31 |        265 | tickle122    | 2017-09-02
         10 |        199 | jessjelly    | 2016-12-03
          3 |        200 | jessjelly    | 2016-02-21
         23 |        201 | happyamy2016 | 2016-11-05
         16 |        202 | happyamy2016 | 2016-08-04
         11 |        203 | tickle122    | 2017-10-05
         12 |        204 | grumpy19     | 2017-04-18
         25 |        205 | weegembump   | 2017-10-11
         31 |        206 | cooljmessy   | 2016-07-17
         23 |        207 | cooljmessy   | 2017-11-24
         16 |        208 | jessjelly    | 2017-02-20
         18 |        209 | tickle122    | 2016-11-29
         17 |        210 | grumpy19     | 2016-11-25
         34 |        211 | cooljmessy   | 2016-06-10
         25 |        212 | grumpy19     | 2016-01-29
          7 |        213 | weegembump   | 2017-03-26
          9 |        214 | grumpy19     | 2017-08-24
         19 |        215 | grumpy19     | 2016-06-17
         35 |        216 | weegembump   | 2017-06-04
         19 |        217 | happyamy2016 | 2017-01-08
         12 |        218 | weegembump   | 2017-04-23
         16 |        219 | cooljmessy   | 2017-05-28
         14 |        220 | cooljmessy   | 2016-06-04
          9 |        221 | tickle122    | 2016-10-04
         24 |        222 | jessjelly    | 2016-03-06
         32 |        223 | jessjelly    | 2018-02-01
          6 |        224 | jessjelly    | 2016-05-11
         17 |        225 | cooljmessy   | 2016-07-27
         19 |        226 | tickle122    | 2016-06-05
         17 |        227 | weegembump   | 2016-06-18
         23 |        228 | jessjelly    | 2017-01-04
          4 |        229 | jessjelly    | 2016-03-12
         27 |        230 | cooljmessy   | 2017-11-08
          3 |        231 | happyamy2016 | 2016-11-30
         30 |        232 | tickle122    | 2017-07-17
         31 |        233 | jessjelly    | 2016-03-01
         16 |        234 | weegembump   | 2016-07-13
         24 |        235 | jessjelly    | 2017-07-19
         30 |        236 | happyamy2016 | 2017-01-16
         18 |        237 | grumpy19     | 2017-05-05
          5 |        238 | happyamy2016 | 2016-11-10
          6 |        239 | cooljmessy   | 2017-11-22
         10 |        240 | jessjelly    | 2016-10-05
         26 |        241 | happyamy2016 | 2016-12-16
          9 |        242 | cooljmessy   | 2016-04-10
         36 |        243 | grumpy19     | 2016-06-20
         12 |        244 | jessjelly    | 2017-10-12
         35 |        245 | grumpy19     | 2016-12-22
         25 |        246 | happyamy2016 | 2016-03-12
         13 |        247 | grumpy19     | 2016-02-13
         16 |        248 | tickle122    | 2017-12-09
         19 |        249 | happyamy2016 | 2016-02-03
          8 |        250 | tickle122    | 2016-01-29
          9 |        251 | cooljmessy   | 2017-11-26
         16 |        252 | grumpy19     | 2016-09-14
         33 |        253 | tickle122    | 2016-10-10
         33 |        254 | weegembump   | 2017-04-20
         21 |        255 | tickle122    | 2016-06-14
          4 |        256 | cooljmessy   | 2017-03-28
         22 |        257 | jessjelly    | 2017-11-03
          8 |        258 | jessjelly    | 2017-06-12
          6 |        259 | happyamy2016 | 2017-10-24
         16 |        260 | tickle122    | 2017-03-24
         22 |        261 | grumpy19     | 2016-09-20
         25 |        262 | grumpy19     | 2017-04-22
         26 |        263 | jessjelly    | 2016-02-23
         19 |        264 | cooljmessy   | 2017-02-25
          9 |        266 | happyamy2016 | 2017-06-21
         21 |        267 | weegembump   | 2018-01-21
         16 |        268 | grumpy19     | 2017-03-30
         36 |        269 | jessjelly    | 2016-02-06
         29 |        270 | tickle122    | 2017-11-02
         17 |        271 | happyamy2016 | 2017-06-22
         33 |        272 | tickle122    | 2017-09-26
         21 |        273 | weegembump   | 2017-02-11
         35 |        274 | happyamy2016 | 2017-05-21
         23 |        275 | jessjelly    | 2016-07-29
         12 |        276 | weegembump   | 2016-02-18
          4 |        277 | grumpy19     | 2017-05-28
         23 |        278 | happyamy2016 | 2016-09-06
         24 |        279 | grumpy19     | 2016-06-29
         28 |        280 | tickle122    | 2017-05-06
          7 |        281 | happyamy2016 | 2017-08-16
         35 |        282 | happyamy2016 | 2016-05-06
         32 |        283 | happyamy2016 | 2017-08-06
         17 |        284 | weegembump   | 2017-01-13
         10 |        285 | jessjelly    | 2016-08-08
          1 |        286 | cooljmessy   | 2017-07-05
         18 |        287 | tickle122    | 2017-03-28
         26 |        288 | cooljmessy   | 2017-07-08
         19 |        289 | weegembump   | 2016-05-28
         28 |        290 | jessjelly    | 2018-01-23
         22 |        291 | jessjelly    | 2016-07-23
         13 |        292 | cooljmessy   | 2017-05-08
         21 |        293 | cooljmessy   | 2017-12-19
         22 |        294 | weegembump   | 2017-01-10
         23 |        295 | cooljmessy   | 2017-12-18
         30 |        296 | happyamy2016 | 2017-01-22
          8 |        297 | cooljmessy   | 2016-01-24
         11 |        298 | tickle122    | 2016-08-10
         27 |        299 | grumpy19     | 2016-01-13
         22 |        300 | jessjelly    | 2016-08-29
(300 rows)

                                         title                                         |  topic   |   username   
---------------------------------------------------------------------------------------+----------+--------------
 Running a Node App                                                                    | coding   | jessjelly
 The Rise Of Thinking Machines: How IBM's Watson Takes On The World                    | coding   | jessjelly
 22 Amazing open source React projects                                                 | coding   | happyamy2016
 Making sense of Redux                                                                 | coding   | jessjelly
 Please stop worrying about Angular 3                                                  | coding   | jessjelly
 JavaScript’s Apply, Call, and Bind Methods are Essential for JavaScript Professionals | coding   | grumpy19
 Using React Native: One Year Later                                                    | coding   | tickle122
 Express.js: A Server-Side JavaScript Framework                                        | coding   | cooljmessy
 Learn HTML5, CSS3, and Responsive WebSite Design in One Go                            | coding   | grumpy19
 An Introduction to JavaScript Object Notation (JSON) in JavaScript and .NET           | coding   | cooljmessy
 Designing Better JavaScript APIs                                                      | coding   | tickle122
 The battle for Node.js security has only begun                                        | coding   | tickle122
 What does Jose Mourinho's handwriting say about his personality?                      | football | weegembump
 Who Will Manage Your Club in 2021?                                                    | football | happyamy2016
 Why do England managers keep making the same mistakes?                                | football | tickle122
 History of FC Barcelona                                                               | football | weegembump
 Which current Premier League manager was the best player?                             | football | cooljmessy
 The People Tracking Every Touch, Pass And Tackle in the World Cup                     | football | grumpy19
 Who are the most followed clubs and players on Instagram?                             | football | jessjelly
 History of Football                                                                   | football | tickle122
 Agility Training Drills For Football Players                                          | football | tickle122
 Defensive Metrics: Measuring the Intensity of a High Press                            | football | tickle122
 Sunday league football                                                                | football | weegembump
 Game of talents: management lessons from top football coaches                         | football | jessjelly
 Sweet potato & butternut squash soup with lemon & garlic toast                        | cooking  | weegembump
 HOW COOKING HAS CHANGED US                                                            | cooking  | weegembump
 Thanksgiving Drinks for Everyone                                                      | cooking  | grumpy19
 High Altitude Cooking                                                                 | cooking  | happyamy2016
 A BRIEF HISTORY OF FOOD—NO BIG DEAL                                                   | cooking  | tickle122
 Twice-Baked Butternut Squash Is the Thanksgiving Side Dish of Your Dreams             | cooking  | jessjelly
 What to Cook This Week                                                                | cooking  | tickle122
 Halal food: Keeping pure and true                                                     | cooking  | grumpy19
 Seafood substitutions are increasing                                                  | cooking  | weegembump
 The Notorious MSG’s Unlikely Formula For Success                                      | cooking  | grumpy19
 Stone Soup                                                                            | cooking  | cooljmessy
 The vegan carnivore?                                                                  | cooking  | tickle122
(36 rows)

